
Setting logging level to DEBUG
2020-10-01 11:26:58.130+00:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://52e00bf41276b2ba5b06e9100beafa936e31847a2d4196f18b1cd097a9d71cff0d17967e05e13e2061bc69dd50269e4922c96824d4c37ae276294597d86f74b9@127.0.0.1:30303
2020-10-01 11:26:58.131+00:00 | main | INFO  | DefaultP2PNetwork | Node address 0x68228f577c888de94f4adb4505179dde992195dd
2020-10-01 11:26:58.141+00:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2020-10-01 11:26:58.149+00:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2020-10-01 11:26:58.150+00:00 | main | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 0
2020-10-01 11:26:58.153+00:00 | main | DEBUG | WaitForPeerTask | Waiting for new peer connection. 0 peers currently connected.
2020-10-01 11:26:58.340+00:00 | vert.x-eventloop-thread-0 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkAccessible: true
2020-10-01 11:26:58.343+00:00 | vert.x-eventloop-thread-0 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkBounds: true
2020-10-01 11:26:58.344+00:00 | vert.x-eventloop-thread-0 | DEBUG | ResourceLeakDetectorFactory | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@456bd067
2020-10-01 11:26:58.448+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.maxCapacityPerThread: 4096
2020-10-01 11:26:58.451+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.maxSharedCapacityFactor: 2
2020-10-01 11:26:58.453+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.linkCapacity: 16
2020-10-01 11:26:58.454+00:00 | vert.x-eventloop-thread-0 | DEBUG | Recycler | -Dio.netty.recycler.ratio: 8
2020-10-01 11:26:58.737+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Initiating neighbours round with 1 candidates from 1 tracked nodes
2020-10-01 11:26:58.865+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Received neighbours packet with 2 neighbours
2020-10-01 11:26:58.865+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Initiating bonding round with 1 candidates
2020-10-01 11:26:58.963+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Initiating neighbours round with 1 candidates from 2 tracked nodes
2020-10-01 11:26:59.235+00:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /10.1.0.223:30303.
2020-10-01 11:26:59.235+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Received neighbours packet with 2 neighbours
2020-10-01 11:26:59.236+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Skipping bonding round because no candidates are available
2020-10-01 11:26:59.236+00:00 | vert.x-eventloop-thread-0 | DEBUG | RecursivePeerRefreshState | Iterative peer search complete.  2 peers processed over 3 rounds.
2020-10-01 11:26:59.236+00:00 | nioEventLoopGroup-3-3 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /10.0.0.169:30303.
2020-10-01 11:26:59.254+00:00 | nioEventLoopGroup-3-4 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2020-10-01 11:26:59.262+00:00 | nioEventLoopGroup-3-2 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2020-10-01 11:26:59.264+00:00 | nioEventLoopGroup-3-2 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2020-10-01 11:26:59.272+00:00 | nioEventLoopGroup-3-3 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2020-10-01 11:26:59.273+00:00 | nioEventLoopGroup-3-3 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2020-10-01 11:26:59.338+00:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Sending framed hello
2020-10-01 11:26:59.340+00:00 | nioEventLoopGroup-3-2 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926}
2020-10-01 11:26:59.340+00:00 | nioEventLoopGroup-3-4 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2020-10-01 11:26:59.343+00:00 | nioEventLoopGroup-3-2 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2020-10-01 11:26:59.344+00:00 | nioEventLoopGroup-3-4 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x3b00772a2764dfa2c352adffed512c561d6475bcf9c79449282ef9afb54f77f00caf7e5b7bdbfb2bb7daf16881aac3891acc2c0e5d93376886a1e7784b3f0dd7}
2020-10-01 11:26:59.345+00:00 | nioEventLoopGroup-3-4 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2020-10-01 11:26:59.348+00:00 | nioEventLoopGroup-3-3 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x3b00772a2764dfa2c352adffed512c561d6475bcf9c79449282ef9afb54f77f00caf7e5b7bdbfb2bb7daf16881aac3891acc2c0e5d93376886a1e7784b3f0dd7}
2020-10-01 11:26:59.348+00:00 | nioEventLoopGroup-3-3 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2020-10-01 11:26:59.350+00:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractHandshakeHandler | Successfully wrote hello message
2020-10-01 11:26:59.359+00:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926}
2020-10-01 11:26:59.359+00:00 | nioEventLoopGroup-3-1 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2020-10-01 11:26:59.439+00:00 | nioEventLoopGroup-3-1 | DEBUG | RlpxAgent | Outbound connection established to peer: 0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926
