Node 1 - (All other nodes are similar and are in sync. Several Blocks committed as part of view 319445 (from block 4168 to 4183) 

INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4181): Got BlockNew: 4181 / 97dc65e4b905b21355e9087b8895116ef229f419e59ab7920c58e1ff724951f9352779d2da839aabeca470c0d55298474dae21cfd7a79285c3b3ba280ea3955e
INFO  | pbft_engine::node:67 | Got BlockValid: 97dc65e4b905b21355e9087b8895116ef229f419e59ab7920c58e1ff724951f9352779d2da839aabeca470c0d55298474dae21cfd7a79285c3b3ba280ea3955e
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4181): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4181): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4181): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4181): Got BlockCommit for 97dc65e4b905b21355e9087b8895116ef229f419e59ab7920c58e1ff724951f9352779d2da839aabeca470c0d55298474dae21cfd7a79285c3b3ba280ea3955e
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4182): Got BlockNew: 4182 / 837cc1efeb9e12e46cf8fc5d15752c985e1e787a37ffeb608e0e19aa426e32491c508139983ea23581bee74bdc8ca47c11c7b06bdf52ccbf9ec8ff46c5cf5ef6
INFO  | pbft_engine::node:67 | Got BlockValid: 837cc1efeb9e12e46cf8fc5d15752c985e1e787a37ffeb608e0e19aa426e32491c508139983ea23581bee74bdc8ca47c11c7b06bdf52ccbf9ec8ff46c5cf5ef6
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4182): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4182): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4182): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4182): Got BlockCommit for 837cc1efeb9e12e46cf8fc5d15752c985e1e787a37ffeb608e0e19aa426e32491c508139983ea23581bee74bdc8ca47c11c7b06bdf52ccbf9ec8ff46c5cf5ef6
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4183): Got BlockNew: 4183 / 0c3d0398563f89b28a3f09fb98a2d8f47dfa7581c556a1bd51aad2be5bf7bfd961814187955deb10e14f55d7aaaeab95250757ccc65b4289006decb7ba03e636
INFO  | pbft_engine::node:67 | Got BlockValid: 0c3d0398563f89b28a3f09fb98a2d8f47dfa7581c556a1bd51aad2be5bf7bfd961814187955deb10e14f55d7aaaeab95250757ccc65b4289006decb7ba03e636
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4183): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4183): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4183): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4183): Got BlockCommit for 0c3d0398563f89b28a3f09fb98a2d8f47dfa7581c556a1bd51aad2be5bf7bfd961814187955deb10e14f55d7aaaeab95250757ccc65b4289006decb7ba03e636


