
Setting logging level to DEBUG
2020-10-01 11:25:01.627+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketServerHandshaker | WebSocket version 13 server handshake key: MjWRd328ce4d50Z1FdGJMg==, response: qOaiBfscwLUisF2GO7Wxbuaabhc=
2020-10-01 11:25:01.710+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketService | Received Websocket request {"jsonrpc":"2.0","id":1,"method":"priv_getTransactionCount","params":["0x063de00c32c281c70621b103c0319e0bb97ee7b0","3qT36k69ze0rhaIDximoQ2UGkjznw1EOp9ySQW5VkeM="]} (host=10.0.3.166, port=34226)
2020-10-01 11:25:01.713+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketService | Received Websocket request {"jsonrpc":"2.0","id":2,"method":"priv_getTransactionCount","params":["0x063de00c32c281c70621b103c0319e0bb97ee7b0","s4yxzqt0VEoHOPB+YXFQEGUQON3R+l1rXUFs+L7t36w="]} (host=10.0.3.166, port=34226)
2020-10-01 11:25:01.723+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketService | Received Websocket request {"jsonrpc":"2.0","id":3,"method":"priv_getTransactionCount","params":["0x063de00c32c281c70621b103c0319e0bb97ee7b0","o1qLcTMtjMsz8Zm4uqGewuCq7bN5GgvWPIIRMtqG7Ys="]} (host=10.0.3.166, port=34226)
2020-10-01 11:25:01.830+00:00 | vert.x-worker-thread-8 | DEBUG | WebSocketRequestHandler | WS-RPC request -> priv_getTransactionCount
2020-10-01 11:25:01.829+00:00 | vert.x-worker-thread-9 | DEBUG | WebSocketRequestHandler | WS-RPC request -> priv_getTransactionCount
2020-10-01 11:25:01.857+00:00 | vert.x-worker-thread-7 | DEBUG | WebSocketRequestHandler | WS-RPC request -> priv_getTransactionCount
2020-10-01 11:25:01.949+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketService | Received Websocket request {"jsonrpc":"2.0","id":4,"method":"eea_sendRawTransaction","params":["f901348080832dc6c094000000000000000000000000000000000000007c80b884b4926e2500000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000002319aad43208575a2beb2997c9e996793238e951a45be3783167a4bea61c2fc195a24fafcd3fa4b6c73f37c5e16a958835bf05d91b287f5544ac1931572ef8c03820f20a062cf9d88bb2145129983ff316d151baa7022694cc64fad60c41b16b28c74e446a073b9d6811f383642fdb6cba6485deded26583032eaf55cde084ad0c9bc7627eea0319aad43208575a2beb2997c9e996793238e951a45be3783167a4bea61c2fc19a0dea4f7ea4ebdcded2b85a203c629a8436506923ce7c3510ea7dc92416e5591e38a72657374726963746564"]} (host=10.0.3.166, port=34226)
2020-10-01 11:25:01.959+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketService | Received Websocket request {"jsonrpc":"2.0","id":5,"method":"eea_sendRawTransaction","params":["f901348080832dc6c094000000000000000000000000000000000000007c80b884b4926e2500000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000002319aad43208575a2beb2997c9e996793238e951a45be3783167a4bea61c2fc1989f1fa7112626135d6761fee809ec46f609a149e9550f7fcb54c1977a492e461820f20a045f5d513bd04c69fcf0fe3481f1113112fcf2f0f936f60ab34d77d9a78f5e307a0127a74cbb272c0f465f0f95cd0b26a72cd0a4d248be7271e31c2bb3ea01021dfa0319aad43208575a2beb2997c9e996793238e951a45be3783167a4bea61c2fc19a0b38cb1ceab74544a0738f07e61715010651038ddd1fa5d6b5d416cf8beeddfac8a72657374726963746564"]} (host=10.0.3.166, port=34226)
2020-10-01 11:25:01.961+00:00 | vert.x-eventloop-thread-0 | DEBUG | WebSocketService | Received Websocket request {"jsonrpc":"2.0","id":6,"method":"eea_sendRawTransaction","params":["f901348080832dc6c094000000000000000000000000000000000000007c80b884b4926e2500000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000002319aad43208575a2beb2997c9e996793238e951a45be3783167a4bea61c2fc1902edade49377b266254c0c91a90878fb3378056e602bca764dd98714eaec7142820f20a0590cc9b9c17ff0ecd460f0bdf3432548847abd6c8eb8a175b5f0738c31051dd9a01313d59d7f6912b4c5d3f5ceca73e9a9a6f00e929427a62f7a2fcd7ca0616acaa0319aad43208575a2beb2997c9e996793238e951a45be3783167a4bea61c2fc19a0a35a8b71332d8ccb33f199b8baa19ec2e0aaedb3791a0bd63c821132da86ed8b8a72657374726963746564"]} (host=10.0.3.166, port=34226)
2020-10-01 11:25:01.961+00:00 | vert.x-worker-thread-11 | DEBUG | WebSocketRequestHandler | WS-RPC request -> eea_sendRawTransaction
2020-10-01 11:25:01.965+00:00 | vert.x-worker-thread-12 | DEBUG | WebSocketRequestHandler | WS-RPC request -> eea_sendRawTransaction
2020-10-01 11:25:01.968+00:00 | vert.x-worker-thread-13 | DEBUG | WebSocketRequestHandler | WS-RPC request -> eea_sendRawTransaction
