
Setting logging level to DEBUG
2020-10-01 11:25:02.412+00:00 | nioEventLoopGroup-3-2 | DEBUG | DeFramer | Received HELLO message: PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926}
2020-10-01 11:25:02.416+00:00 | nioEventLoopGroup-3-2 | DEBUG | DeFramer | Enable compression for p2pVersion: 5
2020-10-01 11:25:02.523+00:00 | nioEventLoopGroup-3-2 | DEBUG | RlpxAgent | Duplicate connection detected, disconnecting inbound connection in favor of previously established connection for peer:  0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926
2020-10-01 11:25:02.524+00:00 | nioEventLoopGroup-3-2 | DEBUG | AbstractPeerConnection | Disconnecting (0x05 ALREADY_CONNECTED) from PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926}
2020-10-01 11:25:02.533+00:00 | nioEventLoopGroup-3-2 | DEBUG | EthProtocolManager | Disconnecting from peer (0x05 ALREADY_CONNECTED), 0 peers left: EthPeers{connections=}
2020-10-01 11:25:02.537+00:00 | nioEventLoopGroup-3-1 | DEBUG | RlpxAgent | Outbound connection established to peer: 0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926
2020-10-01 11:25:02.550+00:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Sending status message to 0x89ffba39175c130af5....
2020-10-01 11:25:02.601+00:00 | nioEventLoopGroup-3-2 | DEBUG | ApiHandler | Received Wire DISCONNECT (ALREADY_CONNECTED) from peer: PeerInfo{version=5, clientId='besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, IBF/1], port=30303, nodeId=0x89ffba39175c130af5e2bb0551ede120d6c98ab997ed5f0539cdb2dbd2a178c2cf780bf1d275ee4ac1d87ae386a9bf38d8fb6ab7a57939be7de6220b70a97926}
2020-10-01 11:25:02.603+00:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Received status message from 0x89ffba39175c130af5...: org.hyperledger.besu.ethereum.eth.messages.StatusMessage@a534d4a4
2020-10-01 11:25:02.609+00:00 | nioEventLoopGroup-3-1 | DEBUG | ChainHeadTracker | Requesting chain head info for 0x89ffba39175c130af5...
2020-10-01 11:25:02.619+00:00 | nioEventLoopGroup-3-1 | DEBUG | GetHeadersFromPeerByHashTask | Requesting 1 headers from peer 0x89ffba39175c130af5....
2020-10-01 11:25:02.630+00:00 | nioEventLoopGroup-3-1 | DEBUG | WaitForPeerTask | Finished waiting for peer connection.
2020-10-01 11:25:02.636+00:00 | nioEventLoopGroup-3-1 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 1
2020-10-01 11:25:02.637+00:00 | nioEventLoopGroup-3-1 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2020-10-01 11:25:02.646+00:00 | nioEventLoopGroup-3-1 | DEBUG | AbstractGetHeadersFromPeerTask | Received 1 of 1 headers requested from peer.
2020-10-01 11:25:05.060+00:00 | pool-8-thread-1 | DEBUG | IbftBlockHeightManager | Round has expired, creating PreparedCertificate and notifying peers. round=ConsensusRoundIdentifier{Sequence=31750, Round=0}
2020-10-01 11:25:05.061+00:00 | pool-8-thread-1 | DEBUG | IbftBlockHeightManager | Starting new round 1
2020-10-01 11:25:07.638+00:00 | EthScheduler-Timer-0 | DEBUG | FullSyncTargetManager | Caught up to best peer: 31749, Peers: 1
2020-10-01 11:25:07.638+00:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
2020-10-01 11:25:12.639+00:00 | EthScheduler-Timer-0 | DEBUG | FullSyncTargetManager | Caught up to best peer: 31749, Peers: 1
2020-10-01 11:25:12.639+00:00 | EthScheduler-Timer-0 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 1 peers currently connected.
